Source_ID,PyBDSF_RA,PyBDSF_Dec,Class,Scores,x1,y1,x2,y2,RC_RA,RC_Dec,PyBDSF_host,PyBDSF_host_RA,PyBDSF_host_Dec,RC_host,RC_host_RA,RC_host_Dec,file_path
5027,242.049,54.8658,1C_1P,0.9941,242.0537,54.8609,242.0495,54.8635,242.0511,54.8618,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5027_infraredctmask_pred.png
5027,242.049,54.8658,1C_1P,0.9701,242.0415,54.8541,242.0383,54.8561,242.0405,54.8548,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5027_infraredctmask_pred.png
5570,241.633,53.4602,1C_1P,0.9918,241.6407,53.4754,241.63,53.4817,241.6359,53.4779,2416p530_ac51-044922,241.6329,53.4607,2416p530_ac51-044536,241.6359,53.4786,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5570_infraredctmask_pred.png
5696,241.408,55.6849,1C_1P,0.9968,241.3936,55.7022,241.3872,55.7061,241.3913,55.704,2426p560_ac51-013267,241.4081,55.6851,2426p560_ac51-013527,241.3914,55.7045,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5696_infraredctmask_pred.png
5947,241.176,55.1587,1C_1P,0.9562,241.1366,55.1624,241.1334,55.1644,241.1357,55.1632,2400p545_ac51-053575,241.1756,55.1593,2400p545_ac51-054098,241.1358,55.1633,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5947_infraredctmask_pred.png
1631,244.588,54.1697,1C_1P,0.997,244.5894,54.1684,244.5846,54.1717,244.588,54.1698,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1631_infraredctmask_pred.png
5784,241.326,55.4634,1C_1P,0.9992,241.3274,55.4618,241.3216,55.4653,241.3257,55.4632,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5784_infraredctmask_pred.png
4637,242.402,53.2976,1C_1P,0.9992,242.4036,53.2958,242.3972,53.2997,242.4017,53.2976,2416p530_ac51-047259,242.4013,53.2976,2416p530_ac51-047259,242.4013,53.2976,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_4637_infraredctmask_pred.png
2683,243.847,56.0617,1C_1P,0.9983,243.8101,56.0573,243.8071,56.0593,243.8085,56.0581,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2683_infraredctmask_pred.png
2683,243.847,56.0617,1C_1P,0.9942,243.8785,56.0654,243.8748,56.0677,243.8783,56.0664,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2683_infraredctmask_pred.png
2683,243.847,56.0617,1C_1P,0.9912,243.849,56.0605,243.8445,56.0634,243.8471,56.0615,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2683_infraredctmask_pred.png
5749,241.43,53.6658,1C_1P,0.9967,241.4469,53.6536,241.4398,53.6581,241.4431,53.6555,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5749_infraredctmask_pred.png
1528,244.724,55.3143,1C_1P,0.9957,244.7639,55.304,244.7558,55.3091,244.7607,55.306,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1528_infraredctmask_pred.png
