Source_ID,PyBDSF_RA,PyBDSF_Dec,Class,Scores,x1,y1,x2,y2,RC_RA,RC_Dec,PyBDSF_host,PyBDSF_host_RA,PyBDSF_host_RA,PyBDSF_separation,RC_host,RC_host_RA,RC_host_Dec,RC_separation,file_path
4755,242.27700000000002,54.5677,1C_1P,0.9942,242.2805,54.5658,242.2731,54.5702,242.2768,54.5677,2425p545_ac51-033596,242.2768,242.2768,1.018233764924343,2425p545_ac51-033596,242.2768,54.5679,0.719999999998322,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_4755_logminmax_pred.png
6181,240.898,55.4435,1C_1P,0.9136,240.8764,55.4561,240.8709,55.4591,240.8745,55.4574,2399p560_ac51-001292,240.8982,240.8982,0.804984471926647,2399p560_ac51-002363,240.8747,55.4574,0.7199999999215834,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_6181_logminmax_pred.png
6181,240.898,55.4435,3C_3P,0.8624,240.8774,55.4368,240.8575,55.4479,240.8666,55.4396,2399p560_ac51-001292,240.8982,240.8982,0.804984471926647,2399p560_ac51-000192,240.8664,55.4393,1.2979984591675582,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_6181_logminmax_pred.png
2030,244.355,55.5616,1C_1P,0.9664,244.3587,55.5596,244.3515,55.5642,244.3549,55.5617,2453p560_ac51-011024,244.3563,244.3563,4.802999063133722,2453p560_ac51-011024,244.3563,55.5613,5.241679120343543,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2030_logminmax_pred.png
2030,244.355,55.5616,3C_3P,0.9888,244.3898,55.5361,244.3521,55.5614,244.3656,55.5437,2453p560_ac51-011024,244.3563,244.3563,4.802999063133722,2453p560_ac51-014116,244.3733,55.5447,27.952788769636264,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2030_logminmax_pred.png
1023,245.104,54.6997,1C_1P,0.9126,245.1094,54.6942,245.1055,54.6969,245.1069,54.6953,-,-1.0,-1.0,908382.339509816,-,-1.0,-1.0,908389.0255828238,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1023_logminmax_pred.png
1023,245.104,54.6997,1C_1P,0.8857,245.0824,54.6906,245.0771,54.6941,245.079,54.6923,-,-1.0,-1.0,908382.339509816,-,-1.0,-1.0,908288.6790569166,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1023_logminmax_pred.png
3059,243.525,54.3378,1C_1P,0.8895,243.551,54.3595,243.5466,54.3623,243.5497,54.3608,2425p545_ac51-023256,243.5259,243.5259,3.2599386497331717,2425p545_ac51-023245,243.5297,54.3542,75.81911104731513,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3059_logminmax_pred.png
1396,244.812,55.0403,1C_1P,0.9903,244.8318,55.0528,244.8261,55.0564,244.829,55.0546,-,-1.0,-1.0,907628.8598333828,-,-1.0,-1.0,907699.9723869081,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1396_logminmax_pred.png
1396,244.812,55.0403,1C_1P,0.8234,244.8333,55.0403,244.8294,55.0428,244.8319,55.0414,-,-1.0,-1.0,907628.8598333828,-,-1.0,-1.0,907699.5879516235,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1396_logminmax_pred.png
3907,242.90200000000002,54.2781,1C_1P,0.89,242.8846,54.2753,242.8705,54.2839,242.8777,54.2796,-,-1.0,-1.0,900315.6930261661,-,-1.0,-1.0,900231.5706891823,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3907_logminmax_pred.png
1745,244.528,54.8537,1C_3P,0.948,244.5045,54.8436,244.4848,54.8649,244.4887,54.8538,-,-1.0,-1.0,906482.8207177797,-,-1.0,-1.0,906344.9456336173,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1745_logminmax_pred.png
2662,243.84,54.3043,1C_1P,0.9896,243.8441,54.3021,243.83599999999998,54.3073,243.8406,54.3045,-,-1.0,-1.0,903630.0559036483,-,-1.0,-1.0,903632.3214597768,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2662_logminmax_pred.png
3645,243.097,56.3426,1C_1P,0.9884,243.0993,56.3411,243.0939,56.3444,243.0966,56.3425,2426p560_ac51-047855,243.0974,243.0974,2.036467529794423,2426p560_ac51-047855,243.0974,56.343,3.3962332075392405,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3645_logminmax_pred.png
3874,242.905,56.3481,1C_1P,0.9704,242.9079,56.3466,242.9022,56.3499,242.9052,56.3478,2426p560_ac51-044755,242.9052,242.9052,1.018233764924343,2426p560_ac51-044755,242.9052,56.3483,1.8000000000085947,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3874_logminmax_pred.png
3853,242.92,56.7729,3C_3P,0.8075,242.9439,56.7509,242.9049,56.7713,242.9159,56.7684,-,-1.0,-1.0,902406.4383039128,-,-1.0,-1.0,902388.3420542151,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3853_logminmax_pred.png
1210,244.986,55.7858,1C_1P,0.9592,245.0311,55.801,245.0213,55.806999999999995,245.0275,55.8037,2453p560_ac51-016085,244.9866,244.9866,4.8299068314226075,2453p560_ac51-017334,245.0276,55.8027,3.6179552235963612,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1210_logminmax_pred.png
