Source_ID,PyBDSF_RA,PyBDSF_Dec,Class,Scores,x1,y1,x2,y2,RC_RA,RC_Dec,PyBDSF_host,PyBDSF_host_RA,PyBDSF_host_RA,PyBDSF_separation,RC_host,RC_host_RA,RC_host_Dec,RC_separation,file_path
5702,241.396,55.6413,1C_1P,0.9534,241.3987,55.6404,241.3937,55.6432,241.396,55.6416,2426p560_ac51-013634,241.3961,241.3961,1.4843180252220005,2426p560_ac51-013634,241.3961,55.6417,0.5091168824712151,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5702_logminmax_pred.png
4755,242.27700000000002,54.5677,1C_1P,0.9942,242.2805,54.5658,242.2731,54.5702,242.2768,54.5677,2425p545_ac51-033596,242.2768,242.2768,1.018233764924343,2425p545_ac51-033596,242.2768,54.5679,0.719999999998322,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_4755_logminmax_pred.png
6181,240.898,55.4435,1C_1P,0.9136,240.8764,55.4561,240.8709,55.4591,240.8745,55.4574,2399p560_ac51-001292,240.8982,240.8982,0.804984471926647,2399p560_ac51-002363,240.8747,55.4574,0.7199999999215834,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_6181_logminmax_pred.png
6181,240.898,55.4435,1C_1P,0.9091,240.9,55.4421,240.8953,55.4448,240.898,55.4432,2399p560_ac51-001292,240.8982,240.8982,0.804984471926647,2399p560_ac51-001292,240.8982,55.4436,1.609968943830415,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_6181_logminmax_pred.png
6181,240.898,55.4435,3C_3P,0.9563,240.9008,55.4344,240.8538,55.4604,240.8711,55.4418,2399p560_ac51-001292,240.8982,240.8982,0.804984471926647,2399p560_ac51-000192,240.8664,55.4393,19.16471758209726,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_6181_logminmax_pred.png
6181,240.898,55.4435,3C_3P,0.8624,240.8774,55.4368,240.8575,55.4479,240.8666,55.4396,2399p560_ac51-001292,240.8982,240.8982,0.804984471926647,2399p560_ac51-000192,240.8664,55.4393,1.2979984591675582,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_6181_logminmax_pred.png
1182,244.935,54.0006,1C_1P,0.986,244.9082,53.9893,244.8982,53.9959,244.903,53.9922,2451p545_ac51-007302,244.9347,244.9347,2.741678318131487,2451p545_ac51-005462,244.9031,53.9925,1.1384199576741414,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1182_logminmax_pred.png
1182,244.935,54.0006,1C_1P,0.9570000000000001,244.9369,53.9992,244.9327,54.0021,244.9346,54.0005,2451p545_ac51-007302,244.9347,244.9347,2.741678318131487,2451p545_ac51-007302,244.9347,54.0013,2.9024127893823,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1182_logminmax_pred.png
2030,244.355,55.5616,1C_1P,0.9664,244.3587,55.5596,244.3515,55.5642,244.3549,55.5617,2453p560_ac51-011024,244.3563,244.3563,4.802999063133722,2453p560_ac51-011024,244.3563,55.5613,5.241679120343543,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2030_logminmax_pred.png
2030,244.355,55.5616,3C_3P,0.9888,244.3898,55.5361,244.3521,55.5614,244.3656,55.5437,2453p560_ac51-011024,244.3563,244.3563,4.802999063133722,2453p560_ac51-014116,244.3733,55.5447,27.952788769636264,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2030_logminmax_pred.png
4292,242.60299999999998,55.6031,3C_3P,0.9868,242.6345,55.5898,242.5948,55.6117,242.6097,55.601000000000006,2426p560_ac51-018481,242.6039,242.6039,3.706426850853516,2426p560_ac51-020085,242.6128,55.6037,14.799459449552279,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_4292_logminmax_pred.png
4561,242.39700000000002,56.0016,1C_1P,0.8333,242.3998,56.0006,242.3956,56.0031,242.3975,56.0016,2426p560_ac51-032544,242.3974,242.3974,2.9024127893442273,2426p560_ac51-032544,242.3974,56.0023,2.545584412254786,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_4561_logminmax_pred.png
1136,245.092,56.7405,1C_1P,0.9924,245.0951,56.7392,245.0895,56.7428,245.0923,56.7408,2453p560_ac51-057236,245.0925,245.0925,2.81168988331493,2453p560_ac51-057236,245.0925,56.7411,1.2979984591888418,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1136_logminmax_pred.png
1136,245.092,56.7405,1C_1P,0.8979,245.0529,56.7278,245.0478,56.7309,245.0501,56.7289,-,245.0925,245.0925,2.81168988331493,-,-1.0,-1.0,909833.8737174228,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1136_logminmax_pred.png
1023,245.104,54.6997,1C_1P,0.9126,245.1094,54.6942,245.1055,54.6969,245.1069,54.6953,-,-1.0,-1.0,908382.339509816,-,-1.0,-1.0,908389.0255828238,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1023_logminmax_pred.png
1023,245.104,54.6997,1C_1P,0.8857,245.0824,54.6906,245.0771,54.6941,245.079,54.6923,-,-1.0,-1.0,908382.339509816,-,-1.0,-1.0,908288.6790569166,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1023_logminmax_pred.png
1023,245.104,54.6997,1C_1P,0.8220000000000001,245.1424,54.6741,245.1336,54.6783,245.1378,54.675,-,-1.0,-1.0,908382.339509816,-,-1.0,-1.0,908481.3965576655,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1023_logminmax_pred.png
