Source_ID,PyBDSF_RA,PyBDSF_Dec,Class,Scores,x1,y1,x2,y2,RC_RA,RC_Dec,PyBDSF_host,PyBDSF_host_RA,PyBDSF_host_Dec,RC_host,RC_host_RA,RC_host_Dec,file_path
4755,242.27700000000002,54.5677,1C_1P,0.9942,242.2805,54.5658,242.2731,54.5702,242.2768,54.5677,2425p545_ac51-033596,242.2768,54.5679,2425p545_ac51-033596,242.2768,54.5679,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_4755_logminmax_pred.png
6181,240.898,55.4435,1C_1P,0.9136,240.8764,55.4561,240.8709,55.4591,240.8745,55.4574,2399p560_ac51-001292,240.8982,55.4436,2399p560_ac51-002363,240.8747,55.4574,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_6181_logminmax_pred.png
6181,240.898,55.4435,3C_3P,0.8624,240.8774,55.4368,240.8575,55.4479,240.8666,55.4396,2399p560_ac51-001292,240.8982,55.4436,2399p560_ac51-000192,240.8664,55.4393,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_6181_logminmax_pred.png
2030,244.355,55.5616,1C_1P,0.9664,244.3587,55.5596,244.3515,55.5642,244.3549,55.5617,2453p560_ac51-011024,244.3563,55.5613,2453p560_ac51-011024,244.3563,55.5613,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2030_logminmax_pred.png
2030,244.355,55.5616,3C_3P,0.9888,244.3898,55.5361,244.3521,55.5614,244.3656,55.5437,2453p560_ac51-011024,244.3563,55.5613,2453p560_ac51-014116,244.3733,55.5447,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2030_logminmax_pred.png
1136,245.092,56.7405,1C_1P,0.8979,245.0529,56.7278,245.0478,56.7309,245.0501,56.7289,-,245.0925,56.7411,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1136_logminmax_pred.png
1023,245.104,54.6997,1C_1P,0.9126,245.1094,54.6942,245.1055,54.6969,245.1069,54.6953,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1023_logminmax_pred.png
1023,245.104,54.6997,1C_1P,0.8857,245.0824,54.6906,245.0771,54.6941,245.079,54.6923,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1023_logminmax_pred.png
3059,243.525,54.3378,1C_1P,0.8895,243.551,54.3595,243.5466,54.3623,243.5497,54.3608,2425p545_ac51-023256,243.5259,54.3379,2425p545_ac51-023245,243.5297,54.3542,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3059_logminmax_pred.png
3059,243.525,54.3378,3C_3P,0.9634,243.5349,54.3495,243.5171,54.3602,243.5296,54.3537,-,243.5259,54.3379,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3059_logminmax_pred.png
6247,240.89700000000002,54.0874,1C_1P,0.8719,240.8813,54.0685,240.8768,54.0712,240.8792,54.0696,2400p545_ac51-024535,240.8969,54.0881,2400p545_ac51-024236,240.8785,54.0701,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_6247_logminmax_pred.png
1396,244.812,55.0403,1C_1P,0.9903,244.8318,55.0528,244.8261,55.0564,244.829,55.0546,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1396_logminmax_pred.png
1396,244.812,55.0403,1C_1P,0.8234,244.8333,55.0403,244.8294,55.0428,244.8319,55.0414,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1396_logminmax_pred.png
3907,242.90200000000002,54.2781,1C_1P,0.89,242.8846,54.2753,242.8705,54.2839,242.8777,54.2796,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3907_logminmax_pred.png
1745,244.528,54.8537,1C_3P,0.948,244.5045,54.8436,244.4848,54.8649,244.4887,54.8538,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1745_logminmax_pred.png
2662,243.84,54.3043,1C_1P,0.9896,243.8441,54.3021,243.83599999999998,54.3073,243.8406,54.3045,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2662_logminmax_pred.png
3645,243.097,56.3426,1C_1P,0.9884,243.0993,56.3411,243.0939,56.3444,243.0966,56.3425,2426p560_ac51-047855,243.0974,56.343,2426p560_ac51-047855,243.0974,56.343,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3645_logminmax_pred.png
